2018_10_15 01:51:41,294,181
2018_10_15 01:51:42,303,200
2018_10_15 01:53:28,281,136
2018_10_15 02:32:46,279,139
2018_10_15 02:32:48,276,138
2018_10_15 02:45:49,299,173
2018_10_15 02:45:50,296,167
2018_10_15 03:24:08,309,201
2018_10_15 03:24:31,300,169
2018_10_15 03:46:27,302,165
2018_10_15 04:08:44,311,177
2018_10_15 04:16:59,309,180
2018_10_15 04:25:54,307,192
2018_10_15 04:25:55,305,175
2018_10_15 04:25:56,297,164
2018_10_15 04:58:10,303,174
2018_10_15 04:58:11,302,174
2018_10_15 04:58:12,281,146
2018_10_15 05:00:36,315,182
2018_10_15 05:01:25,301,169
2018_10_15 05:01:41,310,160
2018_10_15 05:57:18,301,186
2018_10_15 05:57:19,310,176
2018_10_15 05:57:20,281,204
2018_10_15 05:57:28,286,205
2018_10_15 06:00:01,293,202
2018_10_15 06:00:02,294,133
2018_10_15 06:00:02,97,19
2018_10_15 06:00:03,310,174
2018_10_15 06:00:04,65,95
2018_10_15 06:00:04,160,116
2018_10_15 06:00:06,39,103
2018_10_15 06:00:06,24,70
2018_10_15 06:00:07,18,79
2018_10_15 06:00:08,29,35
2018_10_15 06:00:32,71,100
2018_10_15 06:00:33,264,121
2018_10_15 06:00:34,201,58
2018_10_15 06:00:34,132,116
2018_10_15 06:00:36,182,117
2018_10_15 06:00:37,217,157
2018_10_15 06:00:41,188,133
2018_10_15 06:01:12,286,27
2018_10_15 06:01:12,224,86
2018_10_15 06:01:13,279,101
2018_10_15 06:01:14,162,62
2018_10_15 06:01:14,137,124
2018_10_15 06:01:16,17,107
2018_10_15 06:01:18,39,24
2018_10_15 06:01:20,14,51
2018_10_15 06:01:21,30,20
2018_10_15 06:01:28,35,39
2018_10_15 06:01:39,294,170
2018_10_15 06:01:40,284,201
2018_10_15 06:01:46,303,177
2018_10_15 06:01:47,305,164
2018_10_15 06:01:48,304,170
2018_10_15 06:01:49,289,137
2018_10_15 06:01:50,309,151
2018_10_15 06:01:52,290,200
2018_10_15 06:01:54,295,161
2018_10_15 06:02:00,312,139
2018_10_15 06:02:09,307,141
2018_10_15 06:02:10,311,192
2018_10_15 06:02:11,303,167
2018_10_15 06:02:11,128,68
2018_10_15 06:02:12,289,109
2018_10_15 06:02:13,216,91
2018_10_15 06:02:14,133,113
2018_10_15 06:02:18,254,150
2018_10_15 06:02:19,48,233
2018_10_15 06:02:20,251,148
2018_10_15 06:02:50,240,193
2018_10_15 06:02:51,282,2
2018_10_15 06:02:52,158,119
2018_10_15 06:02:55,218,101
2018_10_15 06:02:56,3,181
2018_10_15 06:02:57,71,104
2018_10_15 06:02:58,38,127
2018_10_15 06:02:59,173,125
2018_10_15 06:03:07,26,80
2018_10_15 06:09:36,15,98
2018_10_15 06:09:38,152,114
2018_10_15 06:09:53,20,78
2018_10_15 06:10:00,38,87
2018_10_15 06:10:01,2,194
2018_10_15 06:10:02,150,101
2018_10_15 06:10:04,83,118
2018_10_15 06:10:05,66,126
2018_10_15 06:10:07,112,111
2018_10_15 06:10:09,153,88
2018_10_15 06:10:11,183,127
2018_10_15 06:10:12,180,126
2018_10_15 06:10:14,178,128
2018_10_15 06:14:34,206,144
2018_10_15 06:14:36,158,118
2018_10_15 06:17:41,260,152
2018_10_15 06:17:41,278,10
2018_10_15 06:17:43,253,120
2018_10_15 06:17:43,157,120
2018_10_15 06:18:08,239,221
2018_10_15 06:18:11,178,126
2018_10_15 06:18:12,167,112
2018_10_15 06:18:14,102,112
2018_10_15 06:18:14,185,118
2018_10_15 06:18:15,204,29
2018_10_15 06:18:17,196,83
2018_10_15 06:18:19,177,124
2018_10_15 06:18:19,177,118
2018_10_15 06:18:21,138,194
2018_10_15 06:18:22,213,55
2018_10_15 06:18:23,27,153
2018_10_15 06:18:25,6,54
2018_10_15 06:18:26,14,64
2018_10_15 06:18:28,13,63
2018_10_15 06:18:30,5,48
2018_10_15 06:18:32,10,31
2018_10_15 06:18:33,69,36
2018_10_15 06:18:35,18,43
2018_10_15 06:18:37,20,24
2018_10_15 06:18:38,28,17
2018_10_15 06:18:40,128,90
2018_10_15 06:18:40,41,29
2018_10_15 06:18:41,125,90
2018_10_15 06:19:43,300,216
2018_10_15 06:19:44,292,196
2018_10_15 06:20:02,307,177
2018_10_15 06:20:03,297,181
2018_10_15 06:20:04,301,176
2018_10_15 06:20:05,307,191
2018_10_15 06:20:06,296,187
2018_10_15 06:20:07,293,201
2018_10_15 06:20:08,305,190
2018_10_15 06:20:09,295,191
2018_10_15 06:20:14,269,194
2018_10_15 06:20:15,303,182
2018_10_15 06:20:16,309,160
2018_10_15 06:20:19,298,166
2018_10_15 06:20:20,311,151
2018_10_15 06:20:22,308,171
2018_10_15 06:20:27,293,135
2018_10_15 06:20:28,306,122
2018_10_15 06:20:29,299,157
2018_10_15 06:20:31,311,156
2018_10_15 06:20:32,273,177
2018_10_15 06:20:34,310,152
2018_10_15 06:20:35,290,184
2018_10_15 06:20:36,297,198
2018_10_15 06:20:38,272,188
2018_10_15 06:20:39,280,214
2018_10_15 06:20:40,278,217
2018_10_15 06:20:41,261,218
2018_10_15 06:20:42,281,199
2018_10_15 06:20:43,295,216
2018_10_15 06:20:44,302,208
2018_10_15 06:20:45,285,195
2018_10_15 06:20:46,295,204
2018_10_15 06:20:47,276,212
2018_10_15 06:20:48,294,188
2018_10_15 06:20:50,316,179
2018_10_15 06:20:54,306,211
2018_10_15 06:20:55,290,231
2018_10_15 06:20:56,292,235
2018_10_15 06:20:58,267,226
2018_10_15 06:20:59,307,232
2018_10_15 06:21:00,294,236
2018_10_15 06:21:02,307,235
2018_10_15 06:21:03,305,211
2018_10_15 06:21:04,283,218
2018_10_15 06:21:05,295,207
2018_10_15 06:21:06,282,213
2018_10_15 06:21:07,284,206
2018_10_15 06:21:08,277,161
2018_10_15 06:21:09,276,182
2018_10_15 06:21:10,303,209
2018_10_15 06:21:11,308,223
